PlayerID,PlayerName,SeasonYear,Team,Role,ModelVersion,MappingVersion,G,GS,IP,BF,Confidence,IncompleteSeason,AsOfDate,ControlScore,HRSuppressionScore,StaminaScore,StuffScore,ControlRatingRaw,HRSuppressionRatingRaw,StaminaRatingRaw,StuffRatingRaw,ControlRatingDisplay,HRSuppressionRatingDisplay,StaminaRatingDisplay,StuffRatingDisplay
1348,張賢智,2007,誠泰,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,32,21,130.333333333,566,Regular,False,2026-08-11,0.381242846013,0.68287128613,1.48600832313,0.948146142116,67.8067061971,70.1044508392,76.4367132623,72.1695879404,68,70,76,72
1348,張賢智,2008,米迪亞,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,28,15,111,502,Regular,False,2026-08-11,-0.0287992281805,-0.623237543909,1.47412993887,0.521028368381,64.7914868702,60.0032629679,76.3418582089,68.8640270373,65,60,76,69
1349,鄭博壬,2006,統一7-ELEVEn獅,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,33,2,45.6666666667,202,Regular,False,2026-08-11,-0.704681177183,1.06609417207,-1.17141417282,-0.70388039107,59.2827706981,73.0981689043,54.9366582817,59.2899197607,59,73,55,59
1350,威格斯,2006,誠泰,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,29,2,47,233,Regular,False,2026-08-11,0.220020600686,0.726878450067,-1.03574553912,0.902591997147,66.6052509849,70.4444817456,56.231444048,71.8124931714,67,70,56,72
1351,蔡英峰,2006,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,26,17,109.666666667,448,Regular,False,2026-08-11,0.959119652668,-0.186736655217,1.15616039936,-1.11654530418,72.2557437014,63.6074128403,73.8106270396,55.4626982402,72,64,74,55
1351,蔡英峰,2007,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,35,11,81.6666666667,367,Regular,False,2026-08-11,0.523365464345,1.37354454289,-0.0537822395592,-1.17385242632,68.8818197327,75.539202432,64.6087346342,54.9132152269,69,76,65,55
1351,蔡英峰,2008,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,21,2,38,181,Provisional,False,2026-08-11,0.223037187538,0.84351321947,-1.27621719105,-0.0983967869525,66.6275430456,71.3508018058,53.9246208733,64.2780908355,67,71,54,64
1351,蔡英峰,2009,Lamigo,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,30,7,72,331,Regular,False,2026-08-11,0.927503915,1.27117684303,-0.0646765384191,0.0594688311343,72.0076614947,74.7238901161,64.5285011723,65.4297539622,72,75,65,65
1352,雷鵬,2006,Lamigo,SP,B_Role-v0.1,B_QuadraticTanh-v1,24,24,162.666666667,692,Qualified,False,2026-08-11,-1.56642826485,1.07589609196,0.871592654125,-0.122485112598,51.0960972684,73.1755743667,71.5700312894,64.0973037808,51,73,72,64
1353,陳家鴻,2006,誠泰,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,24,9,72.6666666667,305,Regular,False,2026-08-11,1.68286765549,-0.281817759836,0.0303288032181,-1.59064606049,78.0093085306,62.8623861934,65.2187795857,50.8598578101,78,63,65,51
1353,陳家鴻,2007,誠泰,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,27,2,59.3333333333,255,Regular,False,2026-08-11,1.25334441252,-1.06566394569,-0.454832518711,-0.15369797415,74.5820786968,55.9476808016,61.4478560417,63.8607049418,75,56,61,64
1353,陳家鴻,2008,米迪亞,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,25,8,50.3333333333,233,Regular,False,2026-08-11,0.968642532245,-2.31836485463,-0.911240278559,0.00555243801155,72.3305514892,44.0276572775,57.3995372112,65.0399914165,72,44,57,65
