Model,Scenario,PA,BBRate,HBPRate,KRate,HRRate,AVG,OBP,SLG,OPS
flat-log-odds,Eye95,100000,0.22558849703624165,0.010972364494965425,0.14344026598625906,0.011196734530418712,0.2546842067170088,0.43099675288884826,0.35036857354034573,0.781365326429194
flat-log-odds,Stuff95,100000,0.05419554414480886,0.009470490687491532,0.4011992136020489,0.009664149431902318,0.17923297481658462,0.2314879568311155,0.24657045887284532,0.4780584157039608
flat-log-odds,Control95,100000,0.021049098354449795,0.00668535938613438,0.18267602610822367,0.014259419803373455,0.2546842067170088,0.27535513608920587,0.35036857354034573,0.6257237096295516
flat-log-odds,HRSuppression95,100000,0.07579506382698759,0.013244934753553324,0.17314927560892351,0.00291492475512727,0.2460109590662006,0.3131461422006895,0.3078977746103706,0.6210439168110601
flat-log-odds,Power100_vs_HRSuppression100,100000,0.07211547920507227,0.012601939606155698,0.1647434853152353,0.014923912212489926,0.286002460390034,0.3464904889833579,0.4259673277461437,0.7724578167295015
flat-log-odds,Contact100_vs_Stuff100,100000,0.07483878675647992,0.013077828523072346,0.1495269569066416,0.013345252454415505,0.39457767403584976,0.44780435574929156,0.5202906554476581,0.9680950111969496
naive-multiplicative,Neutral,100000,0.075,0.013106,0.17133300000000004,0.013374,0.2546842067170088,0.320351,0.35036857354034573,0.6707195735403457
naive-multiplicative,Power50,100000,0.07640262972472489,0.01335110486896326,0.17453722344835057,0.004208047543921333,0.23937110408832618,0.30764038813627265,0.29524798690575266,0.6028883750420253
naive-multiplicative,Power80,100000,0.07344788963616276,0.012834773887620655,0.16778729700043568,0.02351678362331825,0.27156488116493516,0.3344162034222882,0.411131744853156,0.7455479482754442
naive-multiplicative,Power95,100000,0.07184237478951189,0.012554215519884572,0.16411959466415257,0.03400855667826088,0.2889556378298975,0.3489653575557738,0.4737309928720831,0.8226963504278568
naive-multiplicative,Power100,100000,0.07114138497915674,0.012431719887157711,0.16251822550178485,0.038589408745381464,0.2965262307854088,0.3553177178706814,0.5009818730495508,0.8562995909202322
naive-multiplicative,Power105,100000,0.07013716641078394,0.01225623603972979,0.16022414843545127,0.04515181041915306,0.30734797619191206,0.36441793314769466,0.539935504438358,0.9043534375860527
naive-multiplicative,Contact95,100000,0.09101586072655787,0.015904718275763566,0.010396013643908894,0.016229948284759804,0.42684749556202434,0.48812929319316334,0.5693711065953203,1.0575003997884838
naive-multiplicative,Eye95,100000,0.15595921646718092,0.011958917307006623,0.1563373400703011,0.012203461015100458,0.2546842067170088,0.3798362437975168,0.35036857354034573,0.7302048173378626
naive-multiplicative,Stuff95,100000,0.06242494431652244,0.010908550936164578,0.31027344890747066,0.011131616070522281,0.20860264354030428,0.2666385778232304,0.2869742556717418,0.5536128334949721
naive-multiplicative,Control95,100000,0.004080133690522396,0.0037466845534162197,0.1864164121595397,0.014551388793879075,0.2546842067170088,0.2605176579653717,0.3503685735403457,0.6108862315057173
